__sheet__,__page__,#,מה נדרש ממך,בחירה,מילוי,הערות אייל,סטטוס סעיף,הכרעה נדרשת מ,סיווג,הסעיף,סקשן אצל אייל,הכשל,התוכן הדרוש,התיקון,נתיב קוד,קישור,אפשרויות לבחירה,הערות סוכן,הערות נימרוד,תאריך הכרעה
עמוד · ספרים,R1-16,BK-02,—,,,,בוצע,—,ברור,"כרטיסי שלושת הספרים — בלי תג שהומצא, CTA ככתבו",SECTION 05 · 06 · 07,H2 «הספרים של מוזה»; meta «2001 · מסעות» / «2004 · פנטזיה» / «2017 · סיפורים אישיים»; CTA «לעמוד הספר ←».,בלי כותרת-גריד. בלי meta. כותרת+בלארב ככתבם. CTA: «לעמוד הספר צבע בכחול וזרוק לים» · «לעמוד הספר כושי בלאנטיס» · «לעמוד הספר וכתבת». href קנוני /books/<slug>/ (md /muzeh/… עושה 301).,הדבקת תוויות הקישור; מחיקת meta ו-title/chap של הגריד.,muzza-defaults.php bookcard items,http://eyalamit-co-il-2026.s887.upress.link/books/,,בוצע 18.8.26 ב-muzza-defaults.php בלבד. מדיה BK-04/05/06 לא נגעו.,,
עמוד · ספרים,R1-16,BK-03,—,,,,בוצע,—,ברור,"CTA חבילה אחד מ-SECTION 10, בלי קופסת GI",SECTION 10,H2+גוף כפולים על הכפתור; temp_note; pending-note «ממתין לאישור»; קישור פרוזה כפול. אף אחד לא במסמך.,[לרכישת חבילת 3 הספרים](https://mrng.to/MTUiO3vkIg) פעם אחת. 150 / ~~207~~ נשארים ב-SECTION 08.,cta בלי title/body/temp_note. מחיקת prose הכפול ו-pending-note. תקדים MTH-02.,muzza-defaults.php SECTION 10 cta + pending-note,http://eyalamit-co-il-2026.s887.upress.link/books/,,בוצע 18.8.26 ב-muzza-defaults.php בלבד. מדיה BK-04/05/06 לא נגעו.,,
עמוד · ספרים,R1-16,BK-04,בתמונת ההירו יש תמונת דלת דיג'רידו שלא במסמך. בחרי מה לעשות.,,,,ממתין לאייל,אייל,לא ברור,תמונת הירו,SECTION 02,Hero בגובה מסך בלי קובץ במסמך. כרגע logo-didgs-door.jpg (לא הוצאה לאור).,להשאיר / להחליף (קישור או שם קובץ במילוי) / בלי תמונה.,לפי הבחירה. הטקסט וה-CTA ל-#books-bundle נשארים.,muzza-defaults.php phero.media,http://eyalamit-co-il-2026.s887.upress.link/books/,להשאיר את התמונה הקיימת. להחליף — הדביקו קישור או שם קובץ בעמודת מילוי. בלי תמונה — נשארים H1 והכפתור.,מדיה בלי קובץ מאייל = לא ברור. לא הומצאה תמונה חדשה. תיקיית מוזה בדרייב ריקה ממדיה.,,
עמוד · ספרים,R1-16,BK-05,בשלושת כרטיסי הספרים יש עטיפות מהאתר בלי קובץ במסמך. בחרי מה לעשות.,,,,ממתין לאייל,אייל,לא ברור,עטיפות שלושת הספרים,SECTION 05 · 06 · 07,DEV NOTES מבקשים תמונת עטיפה בלי שם קובץ. כרגע tsva-bechol-cover.jpg / kushi-blantis-cover.jpg / vekatavt-cover.jpg.,להשאיר / להחליף (שמות קבצים או קישורים במילוי) / בלי עטיפות.,לפי הבחירה. כותרת+בלארב+קישור נשארים.,muzza-defaults.php bookcard items[].cover,http://eyalamit-co-il-2026.s887.upress.link/books/,להשאיר את שלוש העטיפות הקיימות. להחליף — הדביקו קבצים או קישורים בעמודת מילוי. בלי עטיפות — הכרטיס נשאר טקסט לחיץ.,מדיה בלי קובץ מאייל = לא ברור. לא נפתחו תיקיות ילדי הספרים ולא WP-EI-02.,,
עמוד · ספרים,R1-16,BK-06,בבלוק החבילה המסמך מבקש תמונה של שלושת הספרים בלי קובץ. הדביקו קובץ או אמרו שאין תמונה.,,,,ממתין לאייל,אייל,לא ברור,תמונת חבילת שלושת הספרים,SECTION 08,"DEV NOTES: לשלב תמונה של שלושת הספרים, בלי שם קובץ. לא רונדר רכיב תמונה (אין תוכן = אין רכיב).","קובץ או קישור, או «אין תמונה».",שיבוץ התמונה או השארת טקסט+מחיר כמו שהם.,muzza-defaults.php SECTION 08,http://eyalamit-co-il-2026.s887.upress.link/books/#books-bundle,"יש תמונה — הדביקו קישור או שם קובץ בעמודת מילוי. אין תמונה — נשארים הכותרת, 150 במקום 207, והפסקה.",לא הוצג placeholder. מחיר 150 / 207 כבר מהמסמך.,,
עמוד · בלוג,R1-20,BLG-01,—,,,,הוקפא,—,לא ברור,כרום ארכיון /blog/ — כותרת ופתיח,—,"אין תיקיית בלוג ב-content 13.8.26/, אין סקירה בלוג, אין md שמכסה את כותרת/פתיח הארכיון. הפתיח החי («מאמרים, תובנות וסיפורים…») hardcoded ב-tpl-chapters-blog-archive.php — לא מאייל. אין blog-defaults.php.",אין. בלי בייטים מאייל אין מה להדביק.,לא לבנות. לא ליצור blog-defaults.php. לא לערוך את התבנית.,"tpl-chapters-blog-archive.php (חי) · tpl-blog-archive.php (Wave2, לא מעטפת חיה)",http://eyalamit-co-il-2026.s887.upress.link/blog/,,הוקפא 2026-08-18. charter §2: חסר חומר → לא ממציאים. מנדט R1-20: ברירת גל הקפאה מנומקת אלא אם נמצא md לכותרת/פתיח — לא נמצא. סריקת Drive כולל «דפים שלא אונדקסו» ריקה מחומר בלוג. לא נפתח from-eyal/.,,
עמוד · בלוג,R1-20,BLG-02,—,,,,הוקפא,—,לא ברור,54 פוסטים בודדים,—,"ארכיון חי מציג 54 פוסטים (REST X-WP-Total=54, 12 לעמוד, 5 עמודי עימוד). אין חבילת אייל לפוסטים בסבב 1.","אין בסבב 1. פוסטים = סבב 2 (WP-S6-02), מחוץ לגל.",לא לערוך פוסטים. לא לפתוח singles בגל הזה.,post (WP) · tpl-chapters-blog-single.php / tpl-blog-single.php — לא לגעת,http://eyalamit-co-il-2026.s887.upress.link/blog/,,"הוקפא 2026-08-18. אמנה §4: סבב 2 נפתח רק בסגירת סבב 1. מנדט: «פוסטים בודדים = סבב 2, מחוץ לגל». 54 שורות פוסט כבר בטאב סבב-2 של הטרקר (R2-*). LSN-09 (404 הריון) נשאר ב-R1-04 ולא נפתח כאן.",,
עמוד · אייל עמית,R1-21,ABT-01,יש שלושה קבצי אודות חלוקים. בחר איזה מהם הוא המאסטר לעמוד.,,,,בוצע,—,ברור,קובץ מאסטר — שתי גרסאות באותו עמוד,כל העמוד · md FINAL · docx מאסטר · docx חדש מלא,"md, docx «סופי גרסת מאסטר» ו-docx «חדש מלא לאתר» חלוקים בניסוח, במבנה ובעובדות ביוגרפיות. בלי מאסטר אין בייטים להדבקה. אפס סעיפים ברור.",בחירת קובץ אחד (או הוראה אחרת בכתב). לא לבחור לפי שם הקובץ או לפי תאריך.,"שתי גרסאות באותו עמוד, אחת מתחת לשנייה: עליונה = md FINAL מילה-במילה; תחתונה = docx «חדש מלא לאתר» מילה-במילה (הצעת SEO של אייל, לא ניסוח שלנו). אייל בוחר ב-ABT-08.",about-defaults.php,http://eyalamit-co-il-2026.s887.upress.link/eyal-amit/,—,"נימרוד 18.8.26: להציג שתי אופציות באותו עמוד אחד מתחת לשני — אחד בדיוק לפי המידע מאייל, אחד הצעה משופרת SEO. ננעל: גרסה א׳ = אודות - אייל עמית.md · גרסה ב׳ = אייל_עמית_אודות_חדש_מלא_לאתר.docx. ה-docx מאסטר לא נבחר כמאסטר יחיד.",,
עמוד · אייל עמית,R1-21,ABT-02,בתמונות העמוד אין קובץ באף מסמך. בחרי מה לעשות.,,,,ממתין לאייל,אייל,לא ברור,תמונות העמוד,md DEV NOTES 04 · 05 · 07 · 09 · הירו החי,החי מציג 6 קבצי תמונה שכבר היו באתר. אף קובץ חומר לא נוקב בשם קובץ. md מציע «תמונת מוקש / הודו / גלריה / ספרים» בלי נכס.,להשאיר / להחליף (קישור או שם קובץ במילוי) / בלי תמונה.,לפי הבחירה — אחרי ABT-01.,about-defaults.php phero + split + reveals,http://eyalamit-co-il-2026.s887.upress.link/eyal-amit/,"להשאיר את התמונות הקיימות. להחליף — הדביקו קישור או שם קובץ בעמודת מילוי. בלי תמונה — הטקסט נשאר, התמונות יורדות.",מדיה בלי קובץ = לא ברור לאייל. ABT-01 ננעל 18.8.26 (שתי גרסאות). אפשר לשלוח לאייל.,,
עמוד · אייל עמית,R1-21,ABT-03,—,,,,בוצע,—,ברור,שנת 2000 שהומצאה,אין · החי «כמה תחנות בדרך»,תג שנה 2000 הוצמד לפסקת מוקש. 1999 ו-2003 כן ב-md/מאסטר; 2000 לא באף אחד משלושת הקבצים. עובדה ביוגרפית בלי מקור מצוטט.,הורדה / השארה / שנה אחרת בכתב.,ציר הזמן עם תג 2000 אינו באף אחד משני המסמכים שננעלו — לא נכנס לגרסה החדשה (שתי הדבקות). לא מוחקים בשקט לפני ההחלפה.,about-defaults.php timeline items year=2000,http://eyalamit-co-il-2026.s887.upress.link/eyal-amit/,להוריד את תג 2000 (ואת ציר הזמן — ראו ABT-04). להשאיר. לתת שנה אחרת בהערות.,נבלע ב-ABT-01/ABT-09. תג 2000 לא נכנס לשתי ההדבקות.,,
עמוד · אייל עמית,R1-21,ABT-04,—,,,,בוצע,—,ברור,בלוקים שהוספנו,אין כמבנה · md 01–13 / מאסטר כותרות רצף,"H1 עם em; כותרת-משנה «אודות»; ציר זמן «כמה תחנות בדרך»; גלריה עם כותרות שהומצאו (בניין הפסיפס, הגינה, הדיג׳רידו בסטודיו, פנים הסטודיו); המרכז פעמיים; מוקש בשלושה מקומות; כפתור «לעמוד הספרים — מוזה הוצאה לאור».",רשימת הורדות/השארות. תוספת שלנו שאינה במסמך = לא ברור (אמנה §2 אין-סקירה).,"נימרוד ביקש שתי גרסאות מסמך באותו עמוד — כרום צוות (em, ציר, גלריה ממציאה) לא נכנס. מוחלף ב-ABT-09.",about-defaults.php phero + split המרכז + timeline + split מוקש + reveals + כפתור ספרים,http://eyalamit-co-il-2026.s887.upress.link/eyal-amit/,להוריד את כל התוספות ולהתאים למאסטר שייבחר. להשאיר חלק — פרטו בהערות. שתי גרסאות חיות רק אם נימרוד מבקש במפורש.,לא ברור גם כשהפער ברור. אין למחוק בלוק שיש לו גוף בלי הכרעה.,,
עמוד · אייל עמית,R1-21,ABT-05,מוזכר ערך ויקיפדיה בלי קישור. הדביקו כתובת או אמרו להשאיר בלי קישור.,,,,ממתין לאייל,אייל,לא ברור,קישור ויקיפדיה,"md SECTION 09 · מאסטר «ספרים, במה ותקשורת» · docx מלא «כתיבה, ספרים, במה וויקיפדיה»",שלושת הקבצים מזכירים ערך ותיק בוויקיפדיה. אף אחד לא נותן URL. בחי אין href.,"URL חי, או «בלי קישור».",לפי המילוי או הבחירה — אחרי ABT-01 (המשפט עשוי לרדת אם המאסטר אינו כולל אותו).,about-defaults.php בלוק ספרים,http://eyalamit-co-il-2026.s887.upress.link/eyal-amit/,יש כתובת — הדביקו בעמודת מילוי. בלי קישור — נשאר אזכור הטקסט בלבד.,לא הומצא URL. ABT-01 ננעל — אפשר לשלוח לאייל.,,
עמוד · אייל עמית,R1-21,ABT-06,—,,,,בוצע,—,ברור,יעדי קישורים,md קישורים מפורשים · מאסטר רשימת «→ דף …» · docx מלא טבלת יעדים,"md: /muzeh · /learning · /tools-and-accessories · /mokesh-dahiman · /treatment (מחקר). החי: /books · /method (הכשרה) · /books (כלים — שגוי גם מול md) · /eyal-amit/mokesh-dahiman/ · /snoring-sleep-apnea/. מאסטר: בלי נתיב, רק «דף הספרים / דף ההכשרות / דף הדיג'רידו».",טבלת יעד לכל קישור אחרי ABT-01. לא להמציא slug.,מיפוי ניתוב בלבד (כמו R1-04): /muzeh→/books/ · /mokesh-dahiman→/eyal-amit/mokesh-dahiman/ · /tools-and-accessories→/shop/ · /learning→/learning/ · /treatment→/treatment/. לא ניסוח חדש.,about-defaults.php קישורים בגוף,http://eyalamit-co-il-2026.s887.upress.link/eyal-amit/,לפי נתיבי ה-md. לפי הנתיבים החיים הקנוניים (/books/ /learning/ /eyal-amit/mokesh-dahiman/ /didgeridoos/ או /shop/). טבלה בהערות.,ננעל עם ABT-01: גרסה א׳ לפי קישורי ה-md עם ניתוב קנוני. גרסה ב׳ לפי טבלת היעדים ב-docx המלא אם יש נתיב קנוני; אחרת טקסט בלי href מומצא.,,
עמוד · אייל עמית,R1-21,ABT-07,—,,,,הוקפא,—,לא ברור,קישורים רק במאסטר,docx מאסטר · רשימת קישורים פנימיים,המאסטר מבקש «מופע הסיפורים → דף מופע הסיפורים» ו«דיג'רידו בעבודת יד → דף הדיג'רידו». אין ב-md כקישור נפרד (יש /tools-and-accessories בגוף 07). אין בdocx המלא את מופע הסיפורים כפריט. אין עמוד מופע בסבב 1.,להכניס / לא להכניס / URL בכתב. רלוונטי רק אם ABT-01 = docx מאסטר.,לפי הבחירה. אין תוכן = אין רכיב — לא לבנות כרטיס מופע ריק.,about-defaults.php,http://eyalamit-co-il-2026.s887.upress.link/eyal-amit/,לא להכניס. להכניס אחרי URL בעמודת מילוי. רלוונטי רק אם המאסטר הוא ה-docx «סופי גרסת מאסטר».,הוקפא 18.8.26: ABT-01 לא בחר ב-docx מאסטר. מופע הסיפורים לא נכנס.,,
עמוד · אייל עמית,R1-21,ABT-08,בעמוד יש שתי גרסאות אחת מתחת לשנייה. בחרי איזו נשארת.,,,,ממתין לאייל,אייל,לא ברור,בחירת גרסה,כל העמוד · גרסה א׳ md · גרסה ב׳ docx SEO,שני מסמכים מאייל חלוקים. נימרוד ביקש להציג את שתיהן באותו עמוד לבחירה.,גרסה א׳ / גרסה ב׳ / שתיהן נשארות.,לפי הבחירה. אחרי הבחירה הגרסה שנבחרה נשארת בנתיב הקנוני.,about-defaults.php,http://eyalamit-co-il-2026.s887.upress.link/eyal-amit/,גרסה א׳ (המסמך — הסיפור עם גבעתיים והשריפה). גרסה ב׳ (הצעת SEO). שתיהן נשארות בינתיים.,הפרשים מפורשים: שריפה/גבעתיים/2003/שבעה מורים/שלושה ספרים (א׳) מול משאפים/עוזר נגר/שלושה מורים/בלי מספר ספרים (ב׳). שניהם בייטים מאייל.,,
עמוד · אייל עמית,R1-21,ABT-09,—,,,,בוצע,—,ברור,הדבקת שתי הגרסאות באותו עמוד,md FINAL 01–13 · docx חדש מלא,"החי הוא כרום צוות (em, ציר 2000, גלריה) לא אחד המסמכים.",גרסה א׳ למעלה מ-md מילה-במילה עם תווית «גרסה א׳ — המסמך». גרסה ב׳ מתחת מ-docx המלא מילה-במילה עם תווית «גרסה ב׳ — הצעת SEO». H1 בלי em. ניתוב ABT-06. בלי בלוקי Schema/AI מה-docx אם הם הערות למתכנת ולא גוף עמוד.,החלפת about-defaults.php בשתי הדבקות מוערות provenance.,about-defaults.php,http://eyalamit-co-il-2026.s887.upress.link/eyal-amit/,,"בוצע 18.8.26 ב-about-defaults.php בלבד. שתי גרסאות באותו עמוד, לא compare=eyal. מדיה ABT-02 לאייל.",,
עמוד · מוקש דהימן — לזכרו,R1-22,MK-01,—,,,,בוצע,—,ברור,הדבקת 10 כותרות המסמך + גוף; H1 בלי em; בלי תג 1950; jungle/jungel ככתבם; שני href,מי היה מוקש דהימן? · היכרותו הראשונה… · בית המלאכה ברישיקש · Dream Time · קוטלי · הגשמת החלום · תפנית חדה · פרידה · ומה היום · דברי הספד,"H1 עם em + תג 1950–2020 שלא במסמך; H2 שהומצאו (צינור האום, שפת הלב, האדמה בקוטלי, הביקור בקוטלי, The Art of Shanti Living ככותרת, מפעל חייו ימשיך להדהד, תם עידן…, הרוח של מוקש…); Jungle Vibes במקום jungle vibes / jungel vibes; נפלו קישורי Gofundme ודף הסרט.",72 פסקאות ה-docx בסדרן. H1 = «מי היה מוקש דהימן?» בלי em. בלי 1950. (jungle vibes) ו-jungel vibes ככתבם. פרוייקט גיוס המונים → https://www.gofundme.com/f/Roof-For-Mukesh. MUKESH - The Art of Shanti Living → https://www.facebook.com/mukesh.the.art.of.shanti.living.the.movie.,הדבקה מילה-במילה ב-mokesh-defaults.php אחרי GO BUILD. לא לגעת ב-tpl-chapters-mokesh.php. לא למחוק timeline/gallery/fbembeds/bleed כאן.,mokesh-defaults.php phero + sections prose,http://eyalamit-co-il-2026.s887.upress.link/eyal-amit/mokesh-dahiman/,,"בוצע 18.8.26 ב-mokesh-defaults.php בלבד. H1 בלי em, בלי 1950, jungle/jungel + שני href. MK-02…07 נשארו לאייל.",,
עמוד · מוקש דהימן — לזכרו,R1-22,MK-02,בתמונת ההירו ובתמונות ליד הטקסט אין קובץ במסמך. בחרי מה לעשות.,,,,ממתין לאייל,אייל,לא ברור,תמונות הירו ו-split,מי היה מוקש דהימן? · היכרותו הראשונה… · בית המלאכה · קוטלי · הגשמת החלום · פרידה · ומה היום,התיקייה וה-docx בלי מדיה. באתר נשארו mokesh-eyal.jpg וה-split (01/03/07/10/14/17).,להשאיר / להחליף (קישור או שם קובץ במילוי) / בלי תמונה.,לפי הבחירה.,mokesh-defaults.php phero + split,http://eyalamit-co-il-2026.s887.upress.link/eyal-amit/mokesh-dahiman/,"להשאיר את התמונות הקיימות. להחליף — הדביקו קישור או שם קובץ בעמודת מילוי. בלי תמונה — הטקסט נשאר, התמונות ליד הסקשנים יורדות.",מדיה בלי קובץ מאייל = לא ברור. לא הומצאה תמונה חדשה. גלריית 19 = MK-04 נפרד.,,
עמוד · מוקש דהימן — לזכרו,R1-22,MK-03,המסמך מבקש פרומו של הסרט בתחתית העמוד בלי קובץ. הדביקו קישור או אמרו שאין וידאו.,,,,ממתין לאייל,אייל,לא ברור,פרומו הסרט,הגשמת החלום · «כאן בתחתית העמוד תוכלו לצפות בקטע קצר… פרומו בלבד»,"אין URL/קובץ ב-docx. באתר רץ YouTube kf4NKSdYi9E בהירו, לא בתחתית.","קישור YouTube/Vimeo או קובץ, או «אין וידאו», או להשאיר את הקיים.","שיבוץ הפרומו בתחתית לפי הבחירה, או הסרת ה-yt_id מההירו.",mokesh-defaults.php phero.yt_id,http://eyalamit-co-il-2026.s887.upress.link/eyal-amit/mokesh-dahiman/,"להשאיר את הווידאו הקיים. יש פרומו — הדביקו קישור או שם קובץ בעמודת מילוי (ישובץ בתחתית כמו במסמך). אין וידאו — הטקסט נשאר, הווידאו יורד.",לא הוצג placeholder חדש. ID החי לא מצוטט מה-docx.,,
עמוד · מוקש דהימן — לזכרו,R1-22,MK-04,גלריית 19 התמונות אינה במסמך. בחרי מה לעשות.,,,,ממתין לאייל,אייל,לא ברור,גלריית 19 תמונות,— (תוספת צוות אחרי «הגשמת החלום»),"רכיב gallery «מוקש, רישיקש והדרך» עם mokesh-01…19. אין קובץ/רשימה ב-docx.",להשאיר / להחליף (שמות קבצים במילוי) / בלי גלריה.,לפי הבחירה. יש גוף — לא מוחקים בלי הבחירה.,mokesh-defaults.php gallery,http://eyalamit-co-il-2026.s887.upress.link/eyal-amit/mokesh-dahiman/,"להשאיר את 19 התמונות. להחליף — הדביקו קבצים או קישורים בעמודת מילוי. בלי גלריה — הגלריה יורדת, הטקסט נשאר.",מדיה בלי קובץ מאייל = לא ברור. WP-EI-04 hold נדחה; לא נלקח כאישור.,,
עמוד · מוקש דהימן — לזכרו,R1-22,MK-05,ארבע הטמעות הפייסבוק אינן במסמך. בחרי להשאיר או להוריד.,,,,ממתין לאייל,אייל,לא ברור,הטמעות פוסטים בפייסבוק,הגשמת החלום (דף הסרט בלבד — לא ארבעת הפוסטים),fbembeds: IsraelDidgCenter + eyal.amit.muzza×2 + gemma.calaf. המסמך נותן רק דף הסרט mukesh.the.art.of.shanti.living.the.movie (חוזר ב-MK-01).,להשאיר את הארבעה / בלי הטמעות.,לפי הבחירה.,mokesh-defaults.php fbembeds,http://eyalamit-co-il-2026.s887.upress.link/eyal-amit/mokesh-dahiman/,להשאיר את ארבע ההטמעות. בלי הטמעות — הפוסטים יורדים; קישור דף הסרט נשאר בטקסט.,לא הומצאו URL חדשים. דף הסרט מה-docx אינו אחד מארבעת הפוסטים.,,
עמוד · מוקש דהימן — לזכרו,R1-22,MK-06,"הוספנו ציר זמן «תחנות בדרכו של מוקש» שלא במסמך. להשאיר ולדייק, או להסיר.",,,,ממתין לאייל,אייל,לא ברור,ציר זמן,— (תוספת צוות; התאריכים עצמם בפרוזה),רכיב timeline עם 7 תחנות מנוסחות מחדש (סוף שנות השישים… 11.10.2020). אין רכיב כזה ב-docx. יש גוף — אסור למחוק בלי הכרעה.,להשאיר / להוריד.,לפי הבחירה. הפרוזה עם אותם תאריכים נשארת מ-MK-01.,mokesh-defaults.php timeline,http://eyalamit-co-il-2026.s887.upress.link/eyal-amit/mokesh-dahiman/,להשאיר ולדייק את התוכן. להסיר — הרכיב יורד; התאריכים נשארים בגוף הסיפור.,נימרוד 18.8.26: להשאיר בינתיים; לשאול את אייל. הסוכן הוסיף. 1950 אינו בציר.,,
עמוד · מוקש דהימן — לזכרו,R1-22,MK-07,"הוספנו רצועת ציטוט עם תמונה. המשפט כבר בגוף. להשאיר ולדייק, או להסיר.",,,,ממתין לאייל,אייל,לא ברור,רצועת bleed + ציטוט shanti,בית המלאכה ברישיקש,bleed עם mokesh-05.jpeg + «shanti play mantra inside – shanti coming home». הציטוט כבר בפסקה 015. התמונה בלי קובץ במסמך. יש גוף — לא מוחקים בלי הכרעה.,להשאיר / להוריד.,לפי הבחירה. המשפט נשאר בפרוזה בכל מקרה (MK-01).,mokesh-defaults.php bleed,http://eyalamit-co-il-2026.s887.upress.link/eyal-amit/mokesh-dahiman/,להשאיר ולדייק את הרצועה. להסיר — הרצועה יורדת; הציטוט נשאר בגוף «בית המלאכה ברישיקש».,נימרוד 18.8.26: להשאיר בינתיים; לשאול את אייל. הסוכן הוסיף. הציטוט באנגלית במסמך נשמר בהדבקת MK-01.,,
עמוד · צור קשר,R1-23,CNT-01,"אין מסמך מאייל לעמוד צור קשר. לבחור: להקפיא, או להגיש את מה שחי עכשיו בלי שינוי טקסט.",,,,בוצע,—,ברור,דין העמוד — הקפאה מול הגשה כקיים,אין — אין חבילת צור קשר ואין סקירה,"אמנה §2 אין סקירה. אין md/xlsx אייל לעמוד. חי: H1 «צור קשר» עם em; שני טפסים (CF7 392 + גיבוי); וואטסאפ 052-4822842; כתובת רח' עמל 8 ב', פרדס חנה-כרכור. קיים באתר ≠ מאושר.","הכרעה אחת: להקפיא, או להגיש כקיים בלי שינוי טקסט.",לפי הבחירה. בלי בניית עותק. בלי שינוי טלפון/כתובת/טופס.,contact-defaults.php · template-parts/chapters/parts/contact.php,http://eyalamit-co-il-2026.s887.upress.link/contact/,"להקפיא — העמוד נשאר חי כמו שהוא, לא מוגש לאייל בסבב הזה, אפס שינוי טקסט. להגיש כקיים בלי שינוי טקסט — מסמנים שהעותק החי הוגש כ-«קיים באתר», בלי סקירה ובלי המצאת עותק. טלפון וכתובת לא נפתחים מחדש (קנון NAP 16.7.26).",נימרוד 18.8.26: «זה פשוט הפרטים המדויקים. אין מה לשנות.» הגשה כקיים בלי שינוי טקסט. טלפון/כתובת לא נפתחים (NAP 16.7.26). אפס PHP.,,
עמוד · English,R1-24,EN-01,—,,,,הוקפא,—,לא ברור,גוף /en/ — אין מקור אייל לאנגלית,—,אין תיקייה/md/docx/xlsx של אייל ל-/en/ בדרייב (content 13.8.26 + אין סקירה EN). en-defaults.php stub ריק. החי הוא טיוטת צוות ב-tpl-chapters-en.php עם באנר WP-EI-06. חבילת WP-EI-06 ON_HOLD.,"מקור אייל לאנגלית, או אישור מפורש של הטיוטה — לא בגל הזה.",אין. הקפאה. לא לכתוב אנגלית ולא להמציא תרגום.,tpl-chapters-en.php (inline; לא נערך בפאזה א׳) · en-defaults.php (stub; לא נערך),http://eyalamit-co-il-2026.s887.upress.link/en/,,פאזה א׳ 18.8.26. חיפוש Drive: 20 תיקיות ב-content 13.8.26 בלי EN; סקירה יחידה = סקירה דף הבית.xlsx; דפים שלא אונדקסו = Search Console בלי /en/; מוקש docx מזכיר «השפה האנגלית» כסיפור על מוקש בלבד. tracker_schema ROUND1_SEED מקור חומר ריק. Hub OPEN-EN-BODY: אין מקור אנגלית. לא נכתב מ-from-eyal/. RECOMMEND FREEZE.,,
עמוד · תיקון וחידוש דיג'רידו,R1-11,REP-01,בתמונת הרקע של ההירו אין קובץ במסמך. בחרי מה לעשות.,,,,ממתין לאייל,אייל,לא ברור,תמונות העמוד,SECTION 01 · SECTION 07 · SECTION 09,"DEV NOTES מבקשים צילום אמיתי של כלי / תהליך עבודה / בית מלאכה, בלי שם קובץ. כרגע eyal-workshop.jpg בהירו; עוד חמש תמונות אתר ב-.reveals ועוד אחת ב-mag — בלי נכס מאייל.",להשאיר / להחליף (קישור או שם קובץ במילוי) / בלי תמונה.,לפי הבחירה. הטקסט מ-SECTION 01–04 ו-07–08 מודבק בנפרד (REP-03). תמונות ה-.reveals/mag יורדות עם ההדבקה (אינן במסמך).,repair-defaults.php phero.media,http://eyalamit-co-il-2026.s887.upress.link/repair/,"להשאיר את תמונת ההירו הקיימת. להחליף — הדביקו קישור או שם קובץ בעמודת מילוי. בלי תמונה — הטקסט והכפתור נשארים, אין רקע.",מדיה בלי קובץ מאייל = לא ברור. תיקיית החומר ריקה ממדיה. לא הומצאה תמונה חדשה. גלריית «תמונות המוצר» הממתינה אינה במסמך — יורדת ב-REP-03. פאזה א׳ 18.8.26.,,
עמוד · תיקון וחידוש דיג'רידו,R1-11,REP-02,"בבלוק «מה אומרים על העבודה עם אייל» אין המלצות במסמך. הדביקו המלצות על תיקון, או אמרו בלי המלצות.",,,,ממתין לאייל,אייל,לא ברור,המלצות תיקון,SECTION 06,"DEV NOTES: בלוק לא פעיל עד המלצות אמיתיות על תיקון דיג'רידו בלבד. ב«התוכן» רק TODO — בלי שמות, ציטוטים או קישורי פייסבוק. החי לא מציג את הבלוק (אין תוכן = אין רכיב).","המלצות תיקון (טקסט + קישור פייסבוק במילוי), או «בלי המלצות».","שיבוץ ההמלצות, או השארת העמוד בלי בלוק המלצות.",repair-defaults.php SECTION 06,http://eyalamit-co-il-2026.s887.upress.link/repair/,יש המלצות — הדביקו טקסט וקישור פייסבוק בעמודת מילוי. בלי המלצות — הבלוק לא יוצג.,לא הומצאו המלצות. לא הושאלו מטיפול/שיעורים/סאונד (DEV NOTES אוסר). פאזה א׳ 18.8.26.,,
עמוד · תיקון וחידוש דיג'רידו,R1-11,REP-03,—,,,,בוצע,—,ברור,סדר 01–04+07–08 + הירו בלי em + הסרת כרום צוות,SECTION 01–04 · 07–08,em ב-H1; תג-פרק; H2 כפול; פסקת מהנדס שהומצאה; .reveals+תמונות; 08 לפני FAQ כ-mag עם כיתוב שהומצא; גלריה ממתינה; product-cta עם מחיר וקישור Morning לספרים. חסרים CTA אחרי הסקשנים ו«כך נראה התהליך:».,"SECTION 01–04 ו-07–08 ככתבם, בסדר המסמך. H1: תיקון וחידוש דיג'רידו. בלי em, בלי פסקת מהנדס, בלי גלריה/מחיר/רכישה. CTA ל-/contact אחרי כל סקשן שמציין אותו. 08 אחרי 07.",הדבקה מילה-במילה בסדר המסמך במקום הכרום. לא להעתיק מ-didgeridoos-defaults.php.,repair-defaults.php,http://eyalamit-co-il-2026.s887.upress.link/repair/,,פאזה א׳ 18.8.26. אין סקירה — md הוא הרצוי. WP-EI-01/02 לא נפתחו. קישור /tools-and-accessories שייך ל-REP-04.,,
